"entrez";"symbol";"pubmed_id";"organ_system";"driver_type";"drivers_id";"Entry"
92;"ACVR2A";29945994;"Core gastrointestinal";"cancer";114;"P27037"
207;"AKT1";29489755;"Multiple";"cancer";115;"P31749"
338;"APOB";27064257;"Developmental gastrointestinal";"cancer";116;"P04114"
472;"ATM";26909576;"Developmental gastrointestinal";"cancer";117;"Q13315"
207;"AKT1";27135926;"Gynecologic";"cancer";118;"P31749"
338;"APOB";27064257;"Developmental gastrointestinal";"cancer";119;"P04114"
92;"ACVR2A";28667006;"Developmental gastrointestinal";"cancer";120;"P27037"
338;"APOB";26121086;"Soft tissue";"cancer";121;"P04114"
472;"ATM";29625053;"Multiple";"cancer";122;"Q13315"
92;"ACVR2A";24132290;"Multiple";"cancer";123;"P27037"
338;"APOB";28622513;"Developmental gastrointestinal";"cancer";124;"P04114"
207;"AKT1";27161491;"Gynecologic";"cancer";125;"P31749"
92;"ACVR2A";32025015;"Multiple";"cancer";126;"P27037"
207;"AKT1";32025015;"Multiple";"cancer";127;"P31749"
207;"AKT1";26000489;"Urologic";"cancer";128;"P31749"
338;"APOB";22484628;"Core gastrointestinal";"cancer";129;"P04114"
92;"ACVR2A";25822088;"Developmental gastrointestinal";"cancer";130;"P27037"
92;"ACVR2A";28622513;"Developmental gastrointestinal";"cancer";131;"P27037"
472;"ATM";24121791;"Urologic";"cancer";132;"Q13315"
207;"AKT1";32494066;"Multiple";"cancer";133;"P31749"
354;"KLK3";27063598;"Hematologic and lymphatic";"cancer";134;"P07288"
92;"ACVR2A";25362482;"Developmental gastrointestinal";"cancer";135;"P27037"
355;"FAS";26192916;"Hematologic and lymphatic";"cancer";136;"P25445"
92;"ACVR2A";22037554;"Core gastrointestinal";"cancer";137;"P27037"
472;"ATM";22610119;"Urologic";"cancer";138;"Q13315"
355;"FAS";14993899;"Multiple";"cancer";139;"P25445"
207;"AKT1";22722201;"Gynecologic";"cancer";140;"P31749"
92;"ACVR2A";24816253;"Core gastrointestinal";"cancer";141;"P27037"
472;"ATM";22981675;"Urologic";"cancer";142;"Q13315"
355;"FAS";26437031;"Hematologic and lymphatic";"cancer";143;"P25445"
472;"ATM";29622464;"Gynecologic";"cancer";144;"Q13315"
207;"AKT1";26544944;"Urologic";"cancer";145;"P31749"
207;"AKT1";28452984;"Hematologic and lymphatic";"cancer";146;"P31749"
207;"AKT1";23539594;"Multiple";"cancer";147;"P31749"
355;"FAS";21796119;"Hematologic and lymphatic";"cancer";148;"P25445"
92;"ACVR2A";26806338;"Core gastrointestinal";"cancer";149;"P27037"
472;"ATM";23103869;"Developmental gastrointestinal";"cancer";150;"Q13315"
207;"AKT1";26939876;"Gynecologic";"cancer";151;"P31749"
355;"FAS";26939876;"Gynecologic";"cancer";152;"P25445"
364;"AQP7";28362259;"Multiple";"cancer";153;"O14520"
207;"AKT1";26099045;"Gynecologic";"cancer";154;"P31749"
367;"AR";29625053;"Multiple";"cancer";155;"P10275"
208;"AKT2";14993899;"Multiple";"cancer";156;"P31751"
208;"AKT2";23619167;"Head and neck";"cancer";157;"P31751"
208;"AKT2";27311963;"Multiple";"cancer";158;"P31751"
367;"AR";22981675;"Urologic";"cancer";159;"P10275"
367;"AR";14993899;"Multiple";"cancer";160;"P10275"
367;"AR";22722839;"Urologic";"cancer";161;"P10275"
367;"AR";24132290;"Multiple";"cancer";162;"P10275"
367;"AR";30132154;"Core gastrointestinal";"cancer";163;"P10275"
367;"AR";26000489;"Urologic";"cancer";164;"P10275"
367;"AR";32494066;"Multiple";"cancer";165;"P10275"
367;"AR";23539594;"Multiple";"cancer";166;"P10275"
369;"ARAF";29625053;"Multiple";"cancer";167;"P10398"
208;"AKT2";27135926;"Gynecologic";"cancer";168;"P31751"
208;"AKT2";32494066;"Multiple";"cancer";169;"P31751"
208;"AKT2";22722201;"Gynecologic";"cancer";170;"P31751"
208;"AKT2";26099045;"Gynecologic";"cancer";171;"P31751"
213;"ALB";29625053;"Multiple";"cancer";172;"P02768"
213;"ALB";28297679;"Developmental gastrointestinal";"cancer";173;"P02768"
213;"ALB";22634756;"Developmental gastrointestinal";"cancer";174;"P02768"
213;"ALB";27064257;"Developmental gastrointestinal";"cancer";175;"P02768"
213;"ALB";27064257;"Developmental gastrointestinal";"cancer";176;"P02768"
472;"ATM";27158780;"Thoracic";"cancer";177;"Q13315"
472;"ATM";28256603;"Head and neck";"cancer";178;"Q13315"
369;"ARAF";28297679;"Developmental gastrointestinal";"cancer";179;"P10398"
472;"ATM";18948947;"Thoracic";"cancer";180;"Q13315"
213;"ALB";29354286;"Multiple";"cancer";181;"P02768"
369;"ARAF";14993899;"Multiple";"cancer";182;"P10398"
93;"ACVR2B";24390350;"Multiple";"cancer";183;"Q13705"
472;"ATM";28297679;"Developmental gastrointestinal";"cancer";184;"Q13315"
369;"ARAF";32494066;"Multiple";"cancer";185;"P10398"
213;"ALB";32025015;"Multiple";"cancer";186;"P02768"
472;"ATM";22634756;"Developmental gastrointestinal";"cancer";187;"Q13315"
373;"TRIM23";24390350;"Multiple";"cancer";188;"P36406"
213;"ALB";32025015;"Multiple";"cancer";189;"P02768"
213;"ALB";25822088;"Developmental gastrointestinal";"cancer";190;"P02768"
213;"ALB";32024818;"Multiple";"cancer";191;"P02768"
374;"AREG";25501392;"Multiple";"cancer";192;"P15514"
472;"ATM";14993899;"Multiple";"cancer";193;"Q13315"
472;"ATM";24487277;"Urologic";"cancer";194;"Q13315"
472;"ATM";26804919;"Core gastrointestinal";"cancer";195;"Q13315"
213;"ALB";28622513;"Developmental gastrointestinal";"cancer";196;"P02768"
387;"RHOA";29625053;"Multiple";"cancer";197;"P61586"
577;"ADGRB3";22484628;"Core gastrointestinal";"cancer";198;"O60242"
215;"ABCD1";26824661;"Soft tissue";"cancer";199;"P33897"
387;"RHOA";24476821;"Urologic";"cancer";200;"P61586"
577;"ADGRB3";23583981;"Soft tissue";"cancer";201;"O60242"
472;"ATM";30107175;"Endocrine";"cancer";202;"Q13315"
387;"RHOA";25079317;"Core gastrointestinal";"cancer";203;"P61586"
580;"BARD1";14993899;"Multiple";"cancer";204;"Q99728"
387;"RHOA";28522256;"Core gastrointestinal";"cancer";205;"P61586"
226;"ALDOA";28658208;"Gynecologic";"cancer";206;"P04075"
238;"ALK";29625053;"Multiple";"cancer";207;"Q9UM73"
472;"ATM";24121792;"Urologic";"cancer";208;"Q13315"
472;"ATM";22980975;"Thoracic";"cancer";209;"Q13315"
581;"BAX";14993899;"Multiple";"cancer";210;"Q07812"
472;"ATM";29945994;"Core gastrointestinal";"cancer";211;"Q13315"
581;"BAX";32025015;"Multiple";"cancer";212;"Q07812"
238;"ALK";26121087;"Soft tissue";"cancer";213;"Q9UM73"
472;"ATM";27687306;"Thoracic";"cancer";214;"Q13315"
595;"CCND1";29625053;"Multiple";"cancer";215;"P24385"
238;"ALK";14993899;"Multiple";"cancer";216;"Q9UM73"
595;"CCND1";29622464;"Gynecologic";"cancer";217;"P24385"
387;"RHOA";26192916;"Hematologic and lymphatic";"cancer";218;"P61586"
238;"ALK";29489754;"Multiple";"cancer";219;"Q9UM73"
595;"CCND1";23636398;"Gynecologic";"cancer";220;"P24385"
472;"ATM";24132290;"Multiple";"cancer";221;"Q13315"
387;"RHOA";14993899;"Multiple";"cancer";222;"P61586"
387;"RHOA";29489754;"Multiple";"cancer";223;"P61586"
595;"CCND1";21430775;"Hematologic and lymphatic";"cancer";224;"P24385"
387;"RHOA";29354286;"Multiple";"cancer";225;"P61586"
472;"ATM";26632267;"Soft tissue";"cancer";226;"Q13315"
595;"CCND1";28297679;"Developmental gastrointestinal";"cancer";227;"P24385"
387;"RHOA";24816255;"Core gastrointestinal";"cancer";228;"P61586"
238;"ALK";27009842;"Soft tissue";"cancer";229;"Q9UM73"
595;"CCND1";27064257;"Developmental gastrointestinal";"cancer";230;"P24385"
472;"ATM";23415222;"Hematologic and lymphatic";"cancer";231;"Q13315"
238;"ALK";24390350;"Multiple";"cancer";232;"Q9UM73"
472;"ATM";26466571;"Hematologic and lymphatic";"cancer";233;"Q13315"
472;"ATM";24390350;"Multiple";"cancer";234;"Q13315"
238;"ALK";29489755;"Multiple";"cancer";235;"Q9UM73"
387;"RHOA";26437031;"Hematologic and lymphatic";"cancer";236;"P61586"
595;"CCND1";14993899;"Multiple";"cancer";237;"P24385"
238;"ALK";24974848;"Hematologic and lymphatic";"cancer";238;"Q9UM73"
595;"CCND1";27348297;"Gynecologic";"cancer";239;"P24385"
238;"ALK";23334666;"Soft tissue";"cancer";240;"Q9UM73"
387;"RHOA";24390350;"Multiple";"cancer";241;"P61586"
595;"CCND1";24132290;"Multiple";"cancer";242;"P24385"
472;"ATM";25501392;"Multiple";"cancer";243;"Q13315"
387;"RHOA";29622466;"Core gastrointestinal";"cancer";244;"P61586"
595;"CCND1";24390350;"Multiple";"cancer";245;"P24385"
387;"RHOA";30926794;"Hematologic and lymphatic";"cancer";246;"P61586"
472;"ATM";22327622;"Core gastrointestinal";"cancer";247;"Q13315"
238;"ALK";32494066;"Multiple";"cancer";248;"Q9UM73"
595;"CCND1";25501392;"Multiple";"cancer";249;"P24385"
595;"CCND1";28098136;"Head and neck";"cancer";250;"P24385"
595;"CCND1";31444325;"Hematologic and lymphatic";"cancer";251;"P24385"
238;"ALK";23202128;"Soft tissue";"cancer";252;"Q9UM73"
387;"RHOA";27311963;"Multiple";"cancer";253;"P61586"
595;"CCND1";27311963;"Multiple";"cancer";254;"P24385"
238;"ALK";23539594;"Multiple";"cancer";255;"Q9UM73"
595;"CCND1";26258846;"Developmental gastrointestinal";"cancer";256;"P24385"
238;"ALK";26939876;"Gynecologic";"cancer";257;"Q9UM73"
472;"ATM";22327622;"Thoracic";"cancer";258;"Q13315"
238;"ALK";24755198;"Skin";"cancer";259;"Q9UM73"
472;"ATM";29622466;"Core gastrointestinal";"cancer";260;"Q13315"
595;"CCND1";27135926;"Gynecologic";"cancer";261;"P24385"
472;"ATM";27311963;"Multiple";"cancer";262;"Q13315"
595;"CCND1";28352668;"Endocrine";"cancer";263;"P24385"
387;"RHOA";26574607;"Hematologic and lymphatic";"cancer";264;"P61586"
239;"ALOX12";21430775;"Hematologic and lymphatic";"cancer";265;"P18054"
595;"CCND1";26000489;"Urologic";"cancer";266;"P24385"
595;"CCND1";32494066;"Multiple";"cancer";267;"P24385"
595;"CCND1";25362482;"Developmental gastrointestinal";"cancer";268;"P24385"
595;"CCND1";24705251;"Soft tissue";"cancer";269;"P24385"
242;"ALOX12B";28362259;"Multiple";"cancer";270;"O75342"
472;"ATM";27135926;"Gynecologic";"cancer";271;"Q13315"
387;"RHOA";27135926;"Gynecologic";"cancer";272;"P61586"
595;"CCND1";26099045;"Gynecologic";"cancer";273;"P24385"
273;"AMPH";22922871;"Developmental gastrointestinal";"cancer";274;"P49418"
472;"ATM";24413734;"Hematologic and lymphatic";"cancer";275;"Q13315"
387;"RHOA";24413734;"Hematologic and lymphatic";"cancer";276;"P61586"
596;"BCL2";29625053;"Multiple";"cancer";277;"P10415"
472;"ATM";22158541;"Hematologic and lymphatic";"cancer";278;"Q13315"
387;"RHOA";31558468;"Hematologic and lymphatic";"cancer";279;"P61586"
472;"ATM";32025015;"Multiple";"cancer";280;"Q13315"
280;"AMY2B";23636398;"Gynecologic";"cancer";281;"P19961"
283;"ANG";31954095;"Multiple";"cancer";282;"P03950"
596;"BCL2";30606723;"Hematologic and lymphatic";"cancer";283;"P10415"
387;"RHOA";31558468;"Hematologic and lymphatic";"cancer";284;"P61586"
596;"BCL2";14993899;"Multiple";"cancer";285;"P10415"
387;"RHOA";23143595;"Hematologic and lymphatic";"cancer";286;"P61586"
472;"ATM";28988769;"Urologic";"cancer";287;"Q13315"
596;"BCL2";29354286;"Multiple";"cancer";288;"P10415"
596;"BCL2";29354286;"Multiple";"cancer";289;"P10415"
596;"BCL2";28064239;"Hematologic and lymphatic";"cancer";290;"P10415"
472;"ATM";26000489;"Urologic";"cancer";291;"Q13315"
387;"RHOA";28988769;"Urologic";"cancer";292;"P61586"
596;"BCL2";28128360;"Multiple";"cancer";293;"P10415"
284;"ANGPT1";21499247;"Skin";"cancer";294;"Q15389"
387;"RHOA";32494066;"Multiple";"cancer";295;"P61586"
286;"ANK1";14993899;"Multiple";"cancer";296;"P16157"
596;"BCL2";21796119;"Hematologic and lymphatic";"cancer";297;"P10415"
287;"ANK2";21822268;"Urologic";"cancer";298;"Q01484"
472;"ATM";32494066;"Multiple";"cancer";299;"Q13315"
287;"ANK2";24121792;"Urologic";"cancer";300;"Q01484"
472;"ATM";22895193;"Core gastrointestinal";"cancer";301;"Q13315"
387;"RHOA";24413737;"Hematologic and lymphatic";"cancer";302;"P61586"
287;"ANK2";26625313;"Urologic";"cancer";303;"Q01484"
472;"ATM";32024818;"Multiple";"cancer";304;"Q13315"
387;"RHOA";24816253;"Core gastrointestinal";"cancer";305;"P61586"
596;"BCL2";21804550;"Hematologic and lymphatic";"cancer";306;"P10415"
387;"RHOA";24584070;"Hematologic and lymphatic";"cancer";307;"P61586"
596;"BCL2";32024818;"Multiple";"cancer";308;"P10415"
596;"BCL2";23539594;"Multiple";"cancer";309;"P10415"
472;"ATM";26544944;"Urologic";"cancer";310;"Q13315"
288;"ANK3";21822268;"Urologic";"cancer";311;"Q12955"
602;"BCL3";28297679;"Developmental gastrointestinal";"cancer";312;"P20749"
388;"RHOB";29625053;"Multiple";"cancer";313;"P62745"
388;"RHOB";24476821;"Urologic";"cancer";314;"P62745"
472;"ATM";28810144;"Developmental gastrointestinal";"cancer";315;"Q13315"
288;"ANK3";24121792;"Urologic";"cancer";316;"Q12955"
602;"BCL3";14993899;"Multiple";"cancer";317;"P20749"
472;"ATM";23539594;"Multiple";"cancer";318;"Q13315"
288;"ANK3";24390350;"Multiple";"cancer";319;"Q12955"
472;"ATM";22150006;"Hematologic and lymphatic";"cancer";320;"Q13315"
388;"RHOB";28988769;"Urologic";"cancer";321;"P62745"
288;"ANK3";27311963;"Multiple";"cancer";322;"Q12955"
393;"ARHGAP4";25501392;"Multiple";"cancer";323;"P98171"
604;"BCL6";30606723;"Hematologic and lymphatic";"cancer";324;"P41182"
394;"ARHGAP5";14993899;"Multiple";"cancer";325;"Q13017"
604;"BCL6";27064257;"Developmental gastrointestinal";"cancer";326;"P41182"
472;"ATM";26939876;"Gynecologic";"cancer";327;"Q13315"
604;"BCL6";14993899;"Multiple";"cancer";328;"P41182"
288;"ANK3";26121086;"Soft tissue";"cancer";329;"Q12955"
476;"ATP1A1";14993899;"Multiple";"cancer";330;"P05023"
604;"BCL6";29354286;"Multiple";"cancer";331;"P41182"
399;"RHOH";30606723;"Hematologic and lymphatic";"cancer";332;"Q15669"
288;"ANK3";26625313;"Urologic";"cancer";333;"Q12955"
488;"ATP2A2";27311963;"Multiple";"cancer";334;"P16615"
290;"ANPEP";25351205;"Urologic";"cancer";335;"P15144"
399;"RHOH";14993899;"Multiple";"cancer";336;"Q15669"
488;"ATP2A2";21399634;"Hematologic and lymphatic";"cancer";337;"P16615"
604;"BCL6";21796119;"Hematologic and lymphatic";"cancer";338;"P41182"
302;"ANXA2";28362259;"Multiple";"cancer";339;"P07355"
492;"ATP2B3";14993899;"Multiple";"cancer";340;"Q16720"
399;"RHOH";29354286;"Multiple";"cancer";341;"Q15669"
316;"AOX1";26824661;"Soft tissue";"cancer";342;"Q06278"
604;"BCL6";27311963;"Multiple";"cancer";343;"P41182"
405;"ARNT";14993899;"Multiple";"cancer";344;"P27540"
604;"BCL6";31558468;"Hematologic and lymphatic";"cancer";345;"P41182"
604;"BCL6";31558468;"Hematologic and lymphatic";"cancer";347;"P41182"
495;"ATP4A";22484628;"Core gastrointestinal";"cancer";348;"P20648"
414;"ARSD";28249600;"Hematologic and lymphatic";"cancer";349;"P51689"
324;"APC";29625053;"Multiple";"cancer";350;"P25054"
604;"BCL6";32024818;"Multiple";"cancer";351;"P41182"
506;"ATP5F1B";24390350;"Multiple";"cancer";352;"P06576"
324;"APC";22610119;"Urologic";"cancer";353;"P25054"
324;"APC";21892161;"Core gastrointestinal";"cancer";354;"P25054"
526;"ATP6V1B2";28064239;"Hematologic and lymphatic";"cancer";355;"P21281"
526;"ATP6V1B2";27311963;"Multiple";"cancer";356;"P21281"
605;"BCL7A";29354286;"Multiple";"cancer";357;"Q4VC05"
414;"ARSD";28479318;"Hematologic and lymphatic";"cancer";358;"P51689"
605;"BCL7A";28064239;"Hematologic and lymphatic";"cancer";359;"Q4VC05"
435;"ASL";22156295;"Developmental gastrointestinal";"cancer";360;"P04424"
605;"BCL7A";28128360;"Multiple";"cancer";361;"Q4VC05"
460;"ASTN1";18772396;"Soft tissue";"cancer";362;"O14525"
605;"BCL7A";31444325;"Hematologic and lymphatic";"cancer";363;"Q4VC05"
460;"ASTN1";27058444;"Core gastrointestinal";"cancer";364;"O14525"
605;"BCL7A";31558468;"Hematologic and lymphatic";"cancer";365;"Q4VC05"
463;"ZFHX3";29625053;"Multiple";"cancer";366;"Q15911"
605;"BCL7A";31558468;"Hematologic and lymphatic";"cancer";367;"Q4VC05"
607;"BCL9";14993899;"Multiple";"cancer";368;"O00512"
463;"ZFHX3";23636398;"Gynecologic";"cancer";369;"Q15911"
607;"BCL9";29622466;"Core gastrointestinal";"cancer";370;"O00512"
463;"ZFHX3";30718927;"Core gastrointestinal";"cancer";371;"Q15911"
608;"TNFRSF17";14993899;"Multiple";"cancer";372;"Q02223"
463;"ZFHX3";14993899;"Multiple";"cancer";373;"Q15911"
463;"ZFHX3";27348297;"Gynecologic";"cancer";374;"Q15911"
613;"BCR";29489754;"Multiple";"cancer";375;"P11274"
613;"BCR";22343534;"Hematologic and lymphatic";"cancer";376;"P11274"
463;"ZFHX3";22722839;"Urologic";"cancer";377;"Q15911"
613;"BCR";26648538;"Hematologic and lymphatic";"cancer";378;"P11274"
613;"BCR";31558468;"Hematologic and lymphatic";"cancer";379;"P11274"
324;"APC";27158780;"Thoracic";"cancer";380;"P25054"
639;"PRDM1";14993899;"Multiple";"cancer";381;"O75626"
639;"PRDM1";24390350;"Multiple";"cancer";382;"O75626"
639;"PRDM1";31444325;"Hematologic and lymphatic";"cancer";383;"O75626"
324;"APC";22810696;"Core gastrointestinal";"cancer";384;"P25054"
324;"APC";22810696;"Core gastrointestinal";"cancer";385;"P25054"
639;"PRDM1";27135926;"Gynecologic";"cancer";386;"O75626"
324;"APC";25079317;"Core gastrointestinal";"cancer";387;"P25054"
639;"PRDM1";21804550;"Hematologic and lymphatic";"cancer";388;"O75626"
324;"APC";24700472;"Endocrine";"cancer";389;"P25054"
639;"PRDM1";23539594;"Multiple";"cancer";390;"O75626"
533;"ATP6V0B";27311963;"Multiple";"cancer";391;"Q99437"
640;"BLK";30606723;"Hematologic and lymphatic";"cancer";392;"P51451"
324;"APC";18948947;"Thoracic";"cancer";393;"P25054"
641;"BLM";14993899;"Multiple";"cancer";394;"P54132"
534;"ATP6V1G2";27311963;"Multiple";"cancer";395;"O95670"
537;"ATP6AP1";27311963;"Multiple";"cancer";396;"Q15904"
545;"ATR";29625053;"Multiple";"cancer";397;"Q13535"
653;"BMP5";14993899;"Multiple";"cancer";398;"P22003"
545;"ATR";23636398;"Gynecologic";"cancer";399;"Q13535"
463;"ZFHX3";21822268;"Urologic";"cancer";400;"Q15911"
463;"ZFHX3";24390350;"Multiple";"cancer";401;"Q15911"
655;"BMP7";31558468;"Hematologic and lymphatic";"cancer";402;"P18075"
463;"ZFHX3";26503331;"Thoracic";"cancer";403;"Q15911"
673;"BRAF";26091043;"Skin";"cancer";404;"P15056"
545;"ATR";14993899;"Multiple";"cancer";405;"Q13535"
655;"BMP7";31558468;"Hematologic and lymphatic";"cancer";406;"P18075"
657;"BMPR1A";14993899;"Multiple";"cancer";407;"P36894"
545;"ATR";24132290;"Multiple";"cancer";408;"Q13535"
659;"BMPR2";27311963;"Multiple";"cancer";409;"Q13873"
545;"ATR";27135926;"Gynecologic";"cancer";410;"Q13535"
666;"BOK";26998897;"Core gastrointestinal";"cancer";411;"Q9UMX3"
