"drivers_id";"driver_type";"primary_site";"cancer_type";"method"
90;"cancer";"small_intestine";"ampullary_adenocarcinoma";"Recurrence-based"
91;"cancer";"brain";"meningioma";"Recurrence-based"
92;"cancer";"breast";"breast_cancer";"Recurrence-based, Literature-based"
93;"cancer";"small_intestine";"duodenal_adenocarcinoma";"MutSig"
94;"cancer";"multiple";"pan-cancer_adult";"PanSoftWare"
95;"cancer";"pan-gynecological and breast";"pan-gynecological and breast";"MutSigCV, 20/20"
96;"cancer";"multiple";"";"-"
97;"cancer";"uterus";"endometrial_cancer";"MutSig"
98;"cancer";"breast";"breast_cancer";"Wood-based"
99;"cancer";"colorectal";"colorectal_adenocarcinoma";"MutSig"
100;"cancer";"esophagus";"esophageal_adenocarcinoma";"dNdScv, ActiveDriverWGS, MutSig2CV, OncodriveFM, OncodriveClust, eDriver, eDriver3D"
101;"cancer";"blood";"dlblc, follicular_lymphoma";"Paper-specific"
102;"cancer";"hepatobiliary";"hepatocellular_carcinoma, cholangiocarcinoma";"Literature-based"
103;"cancer";"multiple";"";"-"
104;"cancer";"multiple";"pan-cancer_adult";"MuSiC"
105;"cancer";"multiple";"pan-cancer_adult";"ncDriver"
106;"cancer";"multiple";"";"-"
107;"cancer";"hepatobiliary";"hepatocellular_carcinoma, cholangiocarcinoma";"Literature-based"
108;"cancer";"blood";"chronic_lymphocytic_leukemia";"MutSig"
109;"cancer";"multiple";"";"-"
110;"cancer";"multiple";"pan-cancer_adult";"PanSoftWare"
111;"cancer";"multiple";"pan-cancer_adult";"MutSig"
112;"cancer";"breast";"breast_cancer";"MutSig"
113;"cancer";"colorectal";"colorectal_adenocarcinoma";"MutSig"
114;"cancer";"stomach";"gastric_adenocarcinoma";"Recurrence-based"
115;"cancer";"multiple";"pan-cancer_paediatric";"GRIN, MutSig"
116;"cancer";"hepatobiliary";"hepatocellular_carcinoma, cholangiocarcinoma";"Literature-based"
117;"cancer";"pancreas";"pancreatic_cancer_(all_histologies)";"HOTNET2, OncodriveFM, MutSig"
118;"cancer";"breast";"breast_cancer";"Paper-specific"
119;"cancer";"hepatobiliary";"hepatocellular_carcinoma, cholangiocarcinoma";"Literature-based"
120;"cancer";"hepatobiliary";"cholangiocarcinoma";"MutSigCV, IntOGen"
121;"cancer";"peripheral_nervous_system";"neuroblastoma";"Recurrence-based"
122;"cancer";"multiple";"pan-cancer_adult";"PanSoftWare"
123;"cancer";"multiple";"pan-cancer_adult";"MuSiC"
124;"cancer";"hepatobiliary";"hepatocellular_carcinoma";"MutSig, Recurrence-based"
125;"cancer";"breast";"breast_cancer";"Recurrence-based"
126;"cancer";"multiple";"pan-cancer_adult";"ActiveDriverWGS, CompositeDriver, DriverPower, dNdScv, ExInAtor, LARVA, MutSig, NBR, ncdDetect, ncDriver, OncodriveFML, regDriver"
127;"cancer";"multiple";"pan-cancer_adult";"ActiveDriverWGS, CompositeDriver, DriverPower, dNdScv, ExInAtor, LARVA, MutSig, NBR, ncdDetect, ncDriver, OncodriveFML, regDriver"
128;"cancer";"prostate";"prostate_cancer";"MutSig"
129;"cancer";"stomach";"gastric_adenocarcinoma";"Recurrence-based"
130;"cancer";"hepatobiliary";"hepatocellular_carcinoma";"MutSig"
131;"cancer";"hepatobiliary";"hepatocellular_carcinoma";"MutSig, Recurrence-based"
132;"cancer";"bladder";"bladder_cancer";"Recurrence-based"
133;"cancer";"multiple";"";""
134;"cancer";"blood";"acute_promyelocytic_leukemia";"Recurrence-based"
135;"cancer";"hepatobiliary";"hepatocellular_carcinoma";"MutSig"
136;"cancer";"blood";"cutaneous_T_cell_lymphoma";"MuSiC"
137;"cancer";"stomach";"gastric_adenocarcinoma";"Wood-based"
138;"cancer";"prostate";"prostate_cancer";"MutSig"
139;"cancer";"multiple";"";"-"
140;"cancer";"breast";"breast_cancer";"Greenman-based"
141;"cancer";"stomach";"gastric_adenocarcinoma";"Youn-based"
142;"cancer";"prostate";"prostate_cancer";"Recurrence-based"
143;"cancer";"blood";"T-cell_leukemia/lymphoma";"MutSig"
144;"cancer";"pan-gynecological and breast";"pan-gynecological and breast";"MutSigCV, 20/20"
145;"cancer";"prostate";"prostate_cancer";"MutSig"
146;"cancer";"blood";"chronic_myeloid_leukemia";"Recurrence-based, Literature-based"
147;"cancer";"multiple";"";"-"
148;"cancer";"blood";"non-Hodgkin_lymphoma";"Greenman-based"
149;"cancer";"small_intestine";"ampullary_adenocarcinoma";"Recurrence-based"
150;"cancer";"pancreas";"pancreatic_ductal_adenocarcinoma";"MuSiC"
151;"cancer";"breast";"triple_negative_breast_cancer";"Recurrence-based, Paper-specific"
152;"cancer";"breast";"triple_negative_breast_cancer";"Recurrence-based, Paper-specific"
153;"cancer";"multiple";"pan-cancer_adult";"ncdDetect"
154;"cancer";"breast";"breast_cancer";"Recurrence-based, Literature-based"
155;"cancer";"multiple";"pan-cancer_adult";"PanSoftWare"
156;"cancer";"multiple";"";"-"
157;"cancer";"head_and_neck";"squamous_head_and_neck_cancer";"Paper-specific"
158;"cancer";"multiple";"pan-cancer_adult";"OncodriveFML"
159;"cancer";"prostate";"prostate_cancer";"Recurrence-based"
160;"cancer";"multiple";"";"-"
161;"cancer";"prostate";"prostate_cancer";"Paper-specific"
162;"cancer";"multiple";"pan-cancer_adult";"MuSiC"
163;"cancer";"stomach";"gastric_cancer";"Recurrence-based"
164;"cancer";"prostate";"prostate_cancer";"MutSig"
165;"cancer";"multiple";"";""
166;"cancer";"multiple";"";"-"
167;"cancer";"multiple";"pan-cancer_adult";"PanSoftWare"
168;"cancer";"breast";"breast_cancer";"Paper-specific"
169;"cancer";"multiple";"";""
170;"cancer";"breast";"breast_cancer";"Greenman-based"
171;"cancer";"breast";"breast_cancer";"Recurrence-based, Literature-based"
172;"cancer";"multiple";"pan-cancer_adult";"PanSoftWare"
173;"cancer";"hepatobiliary";"cholangiocarcinoma";"MutSig"
174;"cancer";"hepatobiliary";"hepatocellular_carcinoma";"Paper-specific"
175;"cancer";"hepatobiliary";"hepatocellular_carcinoma, cholangiocarcinoma";"Literature-based"
176;"cancer";"hepatobiliary";"hepatocellular_carcinoma, cholangiocarcinoma";"Literature-based"
177;"cancer";"lung";"lung_cancer_(all_histologies)";"MutSig"
178;"cancer";"head_and_neck";"nasopharyngeal_carcinoma";"Literature-based, Paper-specific"
179;"cancer";"hepatobiliary";"cholangiocarcinoma";"MutSig"
180;"cancer";"lung";"lung_adenocarcinoma";"MuSiC"
181;"cancer";"multiple";"pan-cancer_adult";"ncDriver"
182;"cancer";"multiple";"";"-"
183;"cancer";"multiple";"pan-cancer_adult";"MutSig"
184;"cancer";"hepatobiliary";"cholangiocarcinoma";"MutSig"
185;"cancer";"multiple";"";""
186;"cancer";"multiple";"pan-cancer_adult";"ActiveDriverWGS, CompositeDriver, DriverPower, dNdScv, ExInAtor, LARVA, MutSig, NBR, ncdDetect, ncDriver, OncodriveFML, regDriver"
187;"cancer";"hepatobiliary";"hepatocellular_carcinoma";"Paper-specific"
188;"cancer";"multiple";"pan-cancer_adult";"MutSig"
189;"cancer";"multiple";"pan-cancer_adult";"ActiveDriverWGS, CompositeDriver, DriverPower, dNdScv, ExInAtor, LARVA, MutSig, NBR, ncdDetect, ncDriver, OncodriveFML, regDriver"
190;"cancer";"hepatobiliary";"hepatocellular_carcinoma";"MutSig"
191;"cancer";"multiple";"pan-cancer_adult";"DriverPower"
192;"cancer";"multiple";"pan-cancer_adult";"HOTNET2"
193;"cancer";"multiple";"";"-"
194;"cancer";"kidney";"clear_cell_renal_cancer";"Literature-based"
195;"cancer";"small_intestine";"ampullary_adenocarcinoma";"MutSig"
196;"cancer";"hepatobiliary";"hepatocellular_carcinoma";"MutSig, Recurrence-based"
197;"cancer";"multiple";"pan-cancer_adult";"PanSoftWare"
198;"cancer";"stomach";"gastric_adenocarcinoma";"Recurrence-based"
199;"cancer";"brain";"pan-glioma";"MutSig"
200;"cancer";"bladder";"bladder_cancer";"MutSig"
201;"cancer";"brain";"paediatric_low_grade_glioma";"MuSiC, Paper-specific"
202;"cancer";"thyroid";"hurthle_cell_carcinoma";"MutSig2CV, Recurrence-based, Literature-based"
203;"cancer";"stomach";"gastric_adenocarcinoma";"MutSig"
204;"cancer";"multiple";"";"-"
205;"cancer";"stomach";"diffuse_gastric_adenocarcinoma";"MutSig"
206;"cancer";"breast";"breast_cancer";"MutSigNC"
207;"cancer";"multiple";"pan-cancer_adult";"PanSoftWare"
208;"cancer";"bladder";"bladder_cancer";"Wood-based"
209;"cancer";"lung";"lung_adenocarcinoma";"InVEx"
210;"cancer";"multiple";"";"-"
211;"cancer";"stomach";"gastric_adenocarcinoma";"Recurrence-based"
212;"cancer";"multiple";"pan-cancer_adult";"ActiveDriverWGS, CompositeDriver, DriverPower, dNdScv, ExInAtor, LARVA, MutSig, NBR, ncdDetect, ncDriver, OncodriveFML, regDriver"
213;"cancer";"peripheral_nervous_system";"neuroblastoma";"Paper-specific"
214;"cancer";"lung";"lung_adenocarcinoma";"InVEx"
215;"cancer";"multiple";"pan-cancer_adult";"PanSoftWare"
216;"cancer";"multiple";"";"-"
217;"cancer";"pan-gynecological and breast";"pan-gynecological and breast";"MutSigCV, 20/20"
218;"cancer";"blood";"cutaneous_T_cell_lymphoma";"MuSiC"
219;"cancer";"multiple";"pan-cancer_paediatric";"MuSiC"
220;"cancer";"uterus";"endometrial_cancer";"MuSiC"
221;"cancer";"multiple";"pan-cancer_adult";"MuSiC"
222;"cancer";"multiple";"";"-"
223;"cancer";"multiple";"pan-cancer_paediatric";"MuSiC"
224;"cancer";"blood";"multiple_myeloma";"MutSig"
225;"cancer";"multiple";"pan-cancer_adult";"ncDriver"
226;"cancer";"bone";"osteosarcoma";"Recurrence-based, IntOGen"
227;"cancer";"hepatobiliary";"cholangiocarcinoma";"MutSig"
228;"cancer";"stomach";"diffuse_gastric_adenocarcinoma";"Recurrence-based"
229;"cancer";"peripheral_nervous_system";"neuroblastoma";"Paper-specific"
230;"cancer";"hepatobiliary";"hepatocellular_carcinoma, cholangiocarcinoma";"Literature-based"
231;"cancer";"blood";"chronic_lymphocytic_leukemia";"MutSig"
232;"cancer";"multiple";"pan-cancer_adult";"MutSig"
233;"cancer";"blood";"chronic_lymphocytic_leukemia";"MutSig"
234;"cancer";"multiple";"pan-cancer_adult";"MutSig"
235;"cancer";"multiple";"pan-cancer_paediatric";"GRIN, MutSig"
236;"cancer";"blood";"T-cell_leukemia/lymphoma";"MutSig"
237;"cancer";"multiple";"";"-"
238;"cancer";"thymus";"thymic_carcinoma";"Recurrence-based"
239;"cancer";"uterus";"endometrial_cancer";"MutSig"
240;"cancer";"peripheral_nervous_system";"neuroblastoma";"MutSig"
241;"cancer";"multiple";"pan-cancer_adult";"MutSig"
242;"cancer";"multiple";"pan-cancer_adult";"MuSiC"
243;"cancer";"multiple";"pan-cancer_adult";"HOTNET2"
244;"cancer";"pan-gastric";"pan-gastric";"MutSig2CV"
245;"cancer";"multiple";"pan-cancer_adult";"MutSig"
246;"cancer";"blood";"burkitt lymphoma";"IntOGen"
247;"cancer";"colorectal";"colorectal_adenocarcinoma";"Recurrence-based"
248;"cancer";"multiple";"";""
249;"cancer";"multiple";"pan-cancer_adult";"HOTNET2"
250;"cancer";"head_and_neck";"nasopharyngeal_carcinoma";"MutSig"
251;"cancer";"blood";"multiple_myeloma";"dNdScv"
252;"cancer";"peripheral_nervous_system";"neuroblastoma";"Recurrence-based"
253;"cancer";"multiple";"pan-cancer_adult";"OncodriveFML"
254;"cancer";"multiple";"pan-cancer_adult";"OncodriveFML"
255;"cancer";"multiple";"";"-"
256;"cancer";"hepatobiliary";"biliary_tract_cancer";"MutSig"
257;"cancer";"breast";"triple_negative_breast_cancer";"Recurrence-based, Paper-specific"
258;"cancer";"lung";"non-small_cell_lung_cancer";"Recurrence-based"
259;"cancer";"skin";"melanoma";"Recurrence-based"
260;"cancer";"pan-gastric";"pan-gastric";"MutSig2CV"
261;"cancer";"breast";"breast_cancer";"Paper-specific"
262;"cancer";"multiple";"pan-cancer_adult";"OncodriveFML"
263;"cancer";"parathyroid_gland";"parathyroid_carcinoma";"Recurrence-based, Literature-based"
264;"cancer";"blood";"T-cell_leukemia/lymphoma";"Recurrence-based"
265;"cancer";"blood";"multiple_myeloma";"MutSig"
266;"cancer";"prostate";"prostate_cancer";"MutSig"
267;"cancer";"multiple";"";""
268;"cancer";"hepatobiliary";"hepatocellular_carcinoma";"MutSig"
269;"cancer";"brain";"paediatric_high-grade_glioma";"Recurrence-based"
270;"cancer";"multiple";"pan-cancer_adult";"ncdDetect"
271;"cancer";"breast";"breast_cancer";"Paper-specific"
272;"cancer";"breast";"breast_cancer";"Paper-specific"
273;"cancer";"breast";"breast_cancer";"Recurrence-based, Literature-based"
274;"cancer";"hepatobiliary";"hepatocellular_carcinoma";"Paper-specific"
275;"cancer";"blood";"peripheral_T-cell_lymphoma";"Recurrence-based"
276;"cancer";"blood";"peripheral_T-cell_lymphoma";"Recurrence-based"
277;"cancer";"multiple";"pan-cancer_adult";"PanSoftWare"
278;"cancer";"blood";"chronic_lymphocytic_leukemia";"Recurrence-based"
279;"cancer";"blood";"burkitt lymphoma";"MutSigCV, HotNet2, Literature-based"
280;"cancer";"multiple";"pan-cancer_adult";"ActiveDriverWGS, CompositeDriver, DriverPower, dNdScv, ExInAtor, LARVA, MutSig, NBR, ncdDetect, ncDriver, OncodriveFML, regDriver"
281;"cancer";"uterus";"endometrial_cancer";"MuSiC"
282;"cancer";"multiple";"pan-cancer_adult";"ActiveDriverWGS"
283;"cancer";"blood";"dlblc, follicular_lymphoma";"Paper-specific"
284;"cancer";"blood";"burkitt lymphoma";"MutSigCV, HotNet2, Literature-based"
285;"cancer";"multiple";"";"-"
286;"cancer";"blood";"burkitt lymphoma";"Recurrence-based"
287;"cancer";"bladder";"bladder_cancer";"MutSig"
288;"cancer";"multiple";"pan-cancer_adult";"ncDriver"
289;"cancer";"multiple";"pan-cancer_adult";"ncDriver"
290;"cancer";"blood";"follicular_lymphoma";"MuSiC"
291;"cancer";"prostate";"prostate_cancer";"MutSig"
292;"cancer";"bladder";"bladder_cancer";"MutSig"
293;"cancer";"multiple";"pan-cancer_adult";"ExInAtor"
294;"cancer";"skin";"melanoma";"Paper-specific"
295;"cancer";"multiple";"";""
296;"cancer";"multiple";"";"-"
297;"cancer";"blood";"non-Hodgkin_lymphoma";"Greenman-based"
298;"cancer";"bladder";"bladder_cancer";"Wood-based, Recurrence-based"
299;"cancer";"multiple";"";""
300;"cancer";"bladder";"bladder_cancer";"Wood-based"
301;"cancer";"colorectal";"colorectal_adenocarcinoma";"Wood-based"
302;"cancer";"blood";"angioimmunoblastic_T-cell_lymphoma";"Recurrence-based"
303;"cancer";"bladder";"bladder_cancer";"MutSig"
304;"cancer";"multiple";"pan-cancer_adult";"DriverPower"
305;"cancer";"stomach";"gastric_adenocarcinoma";"Youn-based"
306;"cancer";"blood";"diffuse_large_B-cell_lymphoma";"Paper-specific"
307;"cancer";"blood";"angioimmunoblastic_T-cell_lymphoma";"Recurrence-based"
308;"cancer";"multiple";"pan-cancer_adult";"DriverPower"
309;"cancer";"multiple";"";"-"
310;"cancer";"prostate";"prostate_cancer";"MutSig"
311;"cancer";"bladder";"bladder_cancer";"Wood-based, Recurrence-based"
312;"cancer";"hepatobiliary";"cholangiocarcinoma";"MutSig"
313;"cancer";"multiple";"pan-cancer_adult";"PanSoftWare"
314;"cancer";"bladder";"bladder_cancer";"MutSig"
315;"cancer";"pancreas";"pancreatic_ductal_adenocarcinoma";"MutSig"
316;"cancer";"bladder";"bladder_cancer";"Wood-based"
317;"cancer";"multiple";"";"-"
318;"cancer";"multiple";"";"-"
319;"cancer";"multiple";"pan-cancer_adult";"MutSig"
320;"cancer";"blood";"chronic_lymphocytic_leukemia";"MutSig"
321;"cancer";"bladder";"bladder_cancer";"MutSig"
322;"cancer";"multiple";"pan-cancer_adult";"OncodriveFML"
323;"cancer";"multiple";"pan-cancer_adult";"HOTNET2"
324;"cancer";"blood";"dlblc, follicular_lymphoma";"Paper-specific"
325;"cancer";"multiple";"";"-"
326;"cancer";"hepatobiliary";"hepatocellular_carcinoma, cholangiocarcinoma";"Literature-based"
327;"cancer";"breast";"triple_negative_breast_cancer";"Recurrence-based, Paper-specific"
328;"cancer";"multiple";"";"-"
329;"cancer";"peripheral_nervous_system";"neuroblastoma";"Recurrence-based"
330;"cancer";"multiple";"";"-"
331;"cancer";"multiple";"pan-cancer_adult";"ncDriver"
332;"cancer";"blood";"dlblc, follicular_lymphoma";"Paper-specific"
333;"cancer";"bladder";"bladder_cancer";"MutSig"
334;"cancer";"multiple";"pan-cancer_adult";"OncodriveFML"
335;"cancer";"kidney";"clear_cell_renal_cancer";"MuSiC"
336;"cancer";"multiple";"";"-"
337;"cancer";"blood";"acute_monocytic_leukemia";"Recurrence-based"
338;"cancer";"blood";"non-Hodgkin_lymphoma";"Greenman-based"
339;"cancer";"multiple";"pan-cancer_adult";"ncdDetect"
340;"cancer";"multiple";"";"-"
341;"cancer";"multiple";"pan-cancer_adult";"ncDriver"
342;"cancer";"brain";"pan-glioma";"MutSig"
343;"cancer";"multiple";"pan-cancer_adult";"OncodriveFML"
344;"cancer";"multiple";"";"-"
345;"cancer";"blood";"burkitt lymphoma";"MutSigCV, HotNet2, Literature-based"
346;"cancer";"multiple";"pan-cancer_adult";"OncodriveFML"
347;"cancer";"blood";"burkitt lymphoma";"MutSigCV, HotNet2, Literature-based"
348;"cancer";"stomach";"gastric_adenocarcinoma";"Recurrence-based"
349;"cancer";"blood";"acute_myeloid_leukemia";"MutSig"
350;"cancer";"multiple";"pan-cancer_adult";"PanSoftWare"
351;"cancer";"multiple";"pan-cancer_adult";"DriverPower"
352;"cancer";"multiple";"pan-cancer_adult";"MutSig"
353;"cancer";"prostate";"prostate_cancer";"MutSig"
354;"cancer";"colorectal";"colorectal_adenocarcinoma";"MutSig"
355;"cancer";"blood";"follicular_lymphoma";"MuSiC"
356;"cancer";"multiple";"pan-cancer_adult";"OncodriveFML"
357;"cancer";"multiple";"pan-cancer_adult";"ncDriver"
358;"cancer";"blood";"cutaneous_DLBCL";"MuSiC"
359;"cancer";"blood";"follicular_lymphoma";"MuSiC"
360;"cancer";"pancreas";"pancreatic_ductal_adenocarcinoma";"Recurrence-based"
361;"cancer";"multiple";"pan-cancer_adult";"ExInAtor"
362;"cancer";"brain";"glioblastoma";"Wood-based"
363;"cancer";"blood";"multiple_myeloma";"dNdScv"
364;"cancer";"esophagus";"esophageal_squamous_carcinoma";"MutSig"
365;"cancer";"blood";"burkitt lymphoma";"MutSigCV, HotNet2, Literature-based"
366;"cancer";"multiple";"pan-cancer_adult";"PanSoftWare"
367;"cancer";"blood";"burkitt lymphoma";"MutSigCV, HotNet2, Literature-based"
368;"cancer";"multiple";"";"-"
369;"cancer";"uterus";"endometrial_cancer";"MuSiC"
370;"cancer";"pan-gastric";"pan-gastric";"MutSig2CV"
371;"cancer";"esophagus";"esophageal_adenocarcinoma";"dNdScv, ActiveDriverWGS, MutSig2CV, OncodriveFM, OncodriveClust, eDriver, eDriver3D"
372;"cancer";"multiple";"";"-"
373;"cancer";"multiple";"";"-"
374;"cancer";"uterus";"endometrial_cancer";"MutSig"
375;"cancer";"multiple";"pan-cancer_paediatric";"MuSiC"
376;"cancer";"blood";"diffuse_large_B-cell_lymphoma";"MutSig"
377;"cancer";"prostate";"prostate_cancer";"Paper-specific"
378;"cancer";"blood";"chronic_myelomonocytic_leukemia";"Recurrence-based"
379;"cancer";"blood";"burkitt lymphoma";"MutSigCV, HotNet2, Literature-based"
380;"cancer";"lung";"lung_cancer_(all_histologies)";"MutSig"
381;"cancer";"multiple";"";"-"
382;"cancer";"multiple";"pan-cancer_adult";"MutSig"
383;"cancer";"blood";"multiple_myeloma";"dNdScv"
384;"cancer";"colorectal";"colorectal_adenocarcinoma";"MutSig"
385;"cancer";"colorectal";"colorectal_adenocarcinoma";"MutSig"
386;"cancer";"breast";"breast_cancer";"Paper-specific"
387;"cancer";"stomach";"gastric_adenocarcinoma";"MutSig"
388;"cancer";"blood";"diffuse_large_B-cell_lymphoma";"Paper-specific"
389;"cancer";"adrenal_gland";"adrenocortical_adenoma";"MutSig, Recurrence-based"
390;"cancer";"multiple";"";"-"
391;"cancer";"multiple";"pan-cancer_adult";"OncodriveFML"
392;"cancer";"blood";"dlblc, follicular_lymphoma";"Paper-specific"
393;"cancer";"lung";"lung_adenocarcinoma";"MuSiC"
394;"cancer";"multiple";"";"-"
395;"cancer";"multiple";"pan-cancer_adult";"OncodriveFML"
396;"cancer";"multiple";"pan-cancer_adult";"OncodriveFML"
397;"cancer";"multiple";"pan-cancer_adult";"PanSoftWare"
398;"cancer";"multiple";"";"-"
399;"cancer";"uterus";"endometrial_cancer";"MuSiC"
400;"cancer";"bladder";"bladder_cancer";"Wood-based, Recurrence-based"
401;"cancer";"multiple";"pan-cancer_adult";"MutSig"
402;"cancer";"blood";"burkitt lymphoma";"MutSigCV, HotNet2, Literature-based"
403;"cancer";"lung";"lung_squamous_cell_carcinoma";"MutSig"
404;"cancer";"skin";"melanoma";"InVEx, MutSig"
405;"cancer";"multiple";"";"-"
406;"cancer";"blood";"burkitt lymphoma";"MutSigCV, HotNet2, Literature-based"
407;"cancer";"multiple";"";"-"
408;"cancer";"multiple";"pan-cancer_adult";"MuSiC"
