"AC_m";"id_pos";"AC_p"
"PS00108";5431;"O00141"
"PS50011";5410;"O00141"
"PS51285";5434;"O00141"
"PS50038";6618;"O00144"
"PS50261";6621;"O00144"
"PS50104";5573;"O00206"
"PS51257";5532;"O00206"
"PS51450";5534;"O00206"
"PS51450";5536;"O00206"
"PS51450";5549;"O00206"
"PS51450";5553;"O00206"
"PS51450";5557;"O00206"
"PS51450";5560;"O00206"
"PS51450";5563;"O00206"
"PS51450";5566;"O00206"
"PS51450";5568;"O00206"
"PS51450";5570;"O00206"
"PS51450";5571;"O00206"
"PS00652";6850;"O00220"
"PS00652";6853;"O00220"
"PS50017";6869;"O00220"
"PS50050";6847;"O00220"
"PS50050";6856;"O00220"
"PS50088";3612;"O00221"
"PS50088";3615;"O00221"
"PS50088";3616;"O00221"
"PS50297";3610;"O00221"
"PS00979";1947;"O00222"
"PS00980";1950;"O00222"
"PS00981";1952;"O00222"
"PS50259";1951;"O00222"
"PS50089";6563;"O00237"
"PS50835";7522;"O00241"
"PS50835";7524;"O00241"
"PS50835";7526;"O00241"
"PS51119";5284;"O00268"
"PS50942";2078;"O00291"
"PS50945";2080;"O00291"
"PS50112";577;"O00327"
"PS50112";609;"O00327"
"PS50888";575;"O00327"
"PS00915";4576;"O00329"
"PS00916";4579;"O00329"
"PS50290";4573;"O00329"
"PS51544";4554;"O00329"
"PS51545";4563;"O00329"
"PS51546";4557;"O00329"
"PS51547";4560;"O00329"
"PS00657";2008;"O00358"
"PS00658";2012;"O00358"
"PS50039";2010;"O00358"
"PS50166";2710;"O00410"
"PS00489";4474;"O00411"
"PS00900";4472;"O00411"
"PS51158";9448;"O00418"
"PS50084";7862;"O00425"
"PS50084";7864;"O00425"
"PS50084";7866;"O00425"
"PS50084";7868;"O00425"
"PS50102";7858;"O00425"
"PS50102";7860;"O00425"
"PS01287";7116;"O00442"
"PS00915";4329;"O00443"
"PS00916";4338;"O00443"
"PS50004";4345;"O00443"
"PS50195";4341;"O00443"
"PS50290";4325;"O00443"
"PS51545";4323;"O00443"
"PS51546";4317;"O00443"
"PS51547";4320;"O00443"
"PS50001";4679;"O00459"
"PS50001";4682;"O00459"
"PS50002";4673;"O00459"
"PS50238";4676;"O00459"
"PS00518";6401;"O00463"
"PS50089";6398;"O00463"
"PS50144";6432;"O00463"
"PS50145";6426;"O00463"
"PS50145";6430;"O00463"
"PS50835";7958;"O00533"
"PS50835";7960;"O00533"
"PS50835";8045;"O00533"
"PS50835";8056;"O00533"
"PS50835";8057;"O00533"
"PS50835";8058;"O00533"
"PS50853";7961;"O00533"
"PS50853";7964;"O00533"
"PS50853";7967;"O00533"
"PS50853";7970;"O00533"
"PS50172";8919;"O00541"
"PS00010";9393;"O00548"
"PS00010";9400;"O00548"
"PS00010";9405;"O00548"
"PS00022";9384;"O00548"
"PS00022";9387;"O00548"
"PS00022";9390;"O00548"
"PS00022";9394;"O00548"
"PS00022";9397;"O00548"
"PS00022";9401;"O00548"
"PS00022";9406;"O00548"
"PS00022";9409;"O00548"
"PS01186";9385;"O00548"
"PS01186";9388;"O00548"
"PS01186";9391;"O00548"
"PS01186";9395;"O00548"
"PS01186";9398;"O00548"
"PS01186";9402;"O00548"
"PS01186";9407;"O00548"
"PS01186";9410;"O00548"
"PS01187";9403;"O00548"
"PS50026";9386;"O00548"
"PS50026";9389;"O00548"
"PS50026";9392;"O00548"
"PS50026";9396;"O00548"
"PS50026";9399;"O00548"
"PS50026";9404;"O00548"
"PS50026";9408;"O00548"
"PS51051";9383;"O00548"
"PS00039";1311;"O00571"
"PS51192";1307;"O00571"
"PS51194";1313;"O00571"
"PS51195";1304;"O00571"
"PS00125";4611;"O00743"
"PS00915";4358;"O00750"
"PS00916";4361;"O00750"
"PS50004";4367;"O00750"
"PS50195";4364;"O00750"
"PS50290";4354;"O00750"
"PS51545";4353;"O00750"
"PS51546";4348;"O00750"
"PS51547";4351;"O00750"
"PS51011";6397;"O14497"
"PS00022";7871;"O14511"
"PS01186";7878;"O14511"
"PS50026";7861;"O14511"
"PS50835";7859;"O14511"
"PS00383";8157;"O14522"
"PS00383";8163;"O14522"
"PS00740";8144;"O14522"
"PS50055";8154;"O14522"
"PS50055";8159;"O14522"
"PS50056";8155;"O14522"
"PS50056";8161;"O14522"
"PS50060";8142;"O14522"
"PS50835";8147;"O14522"
"PS50853";8149;"O14522"
"PS50853";8151;"O14522"
"PS50853";8153;"O14522"
"PS50294";1113;"O14576"
"PS00027";593;"O14627"
"PS00318";586;"O14627"
"PS50071";588;"O14627"
"PS00598";632;"O14646"
"PS00598";634;"O14646"
"PS50013";630;"O14646"
"PS50013";633;"O14646"
"PS51192";636;"O14646"
"PS51194";637;"O14646"
"PS00598";642;"O14647"
"PS00598";644;"O14647"
"PS50013";641;"O14647"
"PS50013";643;"O14647"
"PS51192";645;"O14647"
"PS51194";650;"O14647"
"PS50003";6842;"O14654"
"PS51064";6845;"O14654"
"PS00011";5143;"O14668"
"PS50998";5140;"O14668"
"PS00142";2441;"O14672"
"PS50214";2444;"O14672"
"PS50215";2439;"O14672"
"PS50097";7000;"O14682"
"PS00398";7028;"O14686"
"PS01359";6973;"O14686"
"PS01359";6981;"O14686"
"PS01359";7004;"O14686"
"PS01359";7009;"O14686"
"PS01359";7012;"O14686"
"PS50016";6976;"O14686"
"PS50016";7005;"O14686"
"PS50016";7007;"O14686"
"PS50016";7023;"O14686"
"PS50016";7026;"O14686"
"PS50089";6978;"O14686"
"PS50280";7046;"O14686"
"PS50868";7048;"O14686"
"PS51542";7041;"O14686"
"PS51543";7043;"O14686"
"PS51805";6961;"O14686"
"PS51805";7039;"O14686"
"PS00108";5089;"O14733"
"PS50011";5087;"O14733"
"PS51678";7666;"O14744"
"PS50106";7663;"O14745"
"PS50106";7665;"O14745"
"PS50878";5525;"O14746"
"PS01159";8038;"O14776"
"PS50020";8035;"O14776"
"PS50020";8037;"O14776"
"PS50020";8039;"O14776"
"PS51676";8040;"O14776"
"PS51676";8042;"O14776"
"PS51676";8043;"O14776"
"PS51676";8046;"O14776"
"PS51676";8048;"O14776"
"PS51676";8050;"O14776"
"PS00740";6947;"O14786"
"PS01180";6928;"O14786"
"PS01180";6929;"O14786"
"PS01285";6934;"O14786"
"PS01285";6941;"O14786"
"PS01286";6935;"O14786"
"PS01286";6943;"O14786"
"PS50022";6931;"O14786"
"PS50022";6939;"O14786"
"PS50060";6945;"O14786"
"PS51421";8411;"O14807"
"PS00720";5281;"O14827"
"PS50003";5219;"O14827"
"PS50003";5266;"O14827"
"PS50009";5278;"O14827"
"PS50010";5263;"O14827"
"PS50096";5233;"O14827"
"PS50212";5275;"O14827"
"PS50005";2328;"O14879"
"PS50005";2329;"O14879"
"PS50005";2332;"O14879"
"PS50005";2334;"O14879"
"PS50005";2336;"O14879"
"PS50293";2330;"O14879"
"PS00601";2577;"O14896"
"PS51507";2574;"O14896"
"PS50106";6906;"O14910"
"PS51022";6904;"O14910"
"PS00232";9275;"O14917"
"PS00232";9277;"O14917"
"PS00232";9279;"O14917"
"PS00232";9281;"O14917"
"PS00232";9283;"O14917"
"PS50268";9274;"O14917"
"PS50268";9276;"O14917"
"PS50268";9278;"O14917"
"PS50268";9280;"O14917"
"PS50268";9282;"O14917"
"PS50268";9284;"O14917"
"PS00108";2380;"O14920"
"PS50011";2378;"O14920"
"PS50053";2383;"O14920"
"PS01179";5441;"O14924"
"PS50106";5429;"O14924"
"PS50132";5444;"O14924"
"PS50877";5460;"O14924"
"PS50898";5453;"O14924"
"PS50898";5456;"O14924"
"PS00107";5245;"O14965"
"PS00108";5246;"O14965"
"PS50011";5244;"O14965"
"PS00879";9516;"O14977"
"PS50102";7780;"O14979"
"PS50102";7782;"O14979"
"PS50166";5849;"O14980"
"PS00639";7293;"O15013"
"PS50010";7290;"O15013"
"PS00107";8261;"O15018"
"PS50106";8253;"O15018"
"PS50106";8255;"O15018"
"PS50106";8257;"O15018"
"PS50106";8259;"O15018"
"PS50106";8263;"O15018"
"PS50106";8265;"O15018"
"PS00019";5134;"O15020"
"PS00020";5136;"O15020"
"PS50003";5145;"O15020"
"PS50021";5132;"O15020"
"PS50021";5141;"O15020"
"PS00108";13627;"O15021"
"PS50011";13624;"O15021"
"PS50106";13631;"O15021"
"PS51285";13629;"O15021"
"PS51004";8661;"O15031"
"PS50002";8957;"O15034"
"PS50002";8963;"O15034"
"PS50002";8964;"O15034"
"PS50853";8959;"O15034"
"PS50853";8961;"O15034"
"PS50853";8962;"O15034"
"PS50835";7417;"O15041"
"PS51004";7413;"O15041"
"PS50102";8662;"O15042"
"PS50128";8664;"O15042"
"PS51391";8667;"O15042"
"PS00028";7752;"O15062"
"PS50097";7734;"O15062"
"PS50157";7736;"O15062"
"PS50157";7754;"O15062"
"PS51273";4257;"O15067"
"PS50092";7851;"O15072"
"PS50092";7852;"O15072"
"PS50092";7853;"O15072"
"PS50092";7854;"O15072"
"PS50215";7846;"O15072"
"PS50900";7855;"O15072"
"PS00107";7265;"O15075"
"PS00108";7268;"O15075"
"PS50011";7263;"O15075"
"PS50309";7260;"O15075"
"PS50309";7261;"O15075"
"PS50003";7569;"O15085"
"PS50010";7567;"O15085"
"PS50106";7564;"O15085"
"PS50132";7566;"O15085"
"PS00028";7443;"O15090"
"PS00028";7449;"O15090"
"PS00028";7453;"O15090"
"PS00028";7457;"O15090"
"PS00028";7463;"O15090"
"PS00028";7470;"O15090"
"PS50157";7441;"O15090"
"PS50157";7445;"O15090"
"PS50157";7447;"O15090"
"PS50157";7451;"O15090"
"PS50157";7455;"O15090"
"PS50157";7460;"O15090"
"PS50157";7466;"O15090"
"PS50157";7473;"O15090"
"PS01264";5317;"O15119"
"PS01283";5314;"O15119"
"PS50252";5311;"O15119"
"PS50082";8028;"O15143"
"PS50294";8030;"O15143"
"PS00107";3468;"O15146"
"PS00109";3470;"O15146"
"PS00228";3450;"O15146"
"PS50011";3465;"O15146"
"PS50038";3458;"O15146"
"PS50835";3452;"O15146"
"PS50835";3454;"O15146"
"PS50835";3456;"O15146"
"PS01358";4194;"O15151"
"PS50089";4197;"O15151"
"PS50199";4190;"O15151"
"PS51925";4185;"O15151"
"PS00028";14234;"O15156"
"PS00028";14236;"O15156"
"PS00028";14238;"O15156"
"PS50097";14232;"O15156"
"PS50157";14233;"O15156"
"PS50157";14235;"O15156"
"PS50157";14237;"O15156"
"PS50157";14239;"O15156"
"PS00518";6873;"O15164"
"PS00633";6887;"O15164"
"PS01359";6885;"O15164"
"PS50014";6888;"O15164"
"PS50016";6884;"O15164"
"PS50089";6871;"O15164"
"PS50119";6880;"O15164"
"PS50119";6883;"O15164"
"PS50132";6441;"O15169"
"PS50841";6443;"O15169"
"PS00191";14207;"O15195"
"PS51089";14208;"O15195"
"PS00790";1153;"O15197"
"PS00791";1154;"O15197"
"PS01186";1156;"O15197"
"PS50011";1162;"O15197"
"PS50105";1164;"O15197"
"PS50853";1158;"O15197"
"PS50853";1160;"O15197"
"PS51550";1152;"O15197"
"PS50404";1970;"O15217"
"PS50405";1973;"O15217"
"PS51257";3488;"O15243"
"PS00216";5701;"O15244"
"PS00216";5704;"O15244"
"PS50850";5697;"O15244"
"PS00216";5688;"O15245"
"PS50850";5677;"O15245"
"PS01032";6903;"O15297"
"PS51746";6899;"O15297"
"PS50162";4944;"O15315"
"PS50004";6900;"O15327"
"PS00348";6121;"O15350"
"PS50001";2492;"O15357"
"PS50105";2494;"O15357"
"PS50850";7210;"O15374"
"PS00134";5610;"O15393"
"PS00135";5612;"O15393"
"PS01209";5606;"O15393"
"PS50068";5605;"O15393"
"PS50240";5608;"O15393"
"PS50287";5607;"O15393"
"PS50835";3759;"O15394"
"PS50835";3762;"O15394"
"PS50835";3765;"O15394"
"PS50835";3767;"O15394"
"PS50835";3770;"O15394"
"PS50853";3772;"O15394"
"PS50853";3780;"O15394"
"PS50118";9298;"O15405"
"PS00028";12122;"O15409"
"PS00658";12128;"O15409"
"PS50039";12124;"O15409"
"PS51038";11905;"O15417"
"PS00211";6745;"O15438"
"PS00211";6752;"O15438"
"PS50893";6742;"O15438"
"PS50893";6749;"O15438"
"PS50929";6741;"O15438"
"PS50929";6746;"O15438"
"PS00211";7914;"O15440"
"PS00211";7924;"O15440"
"PS50893";7911;"O15440"
"PS50893";7921;"O15440"
"PS50929";7906;"O15440"
"PS50929";7918;"O15440"
"PS50001";6702;"O15524"
"PS50225";6704;"O15524"
"PS50112";4254;"O15534"
"PS01285";5155;"O15537"
"PS50022";5154;"O15537"
"PS50005";5681;"O15550"
"PS50005";5685;"O15550"
"PS50005";5687;"O15550"
"PS50005";5691;"O15550"
"PS50005";5693;"O15550"
"PS50005";5694;"O15550"
"PS50005";5696;"O15550"
"PS50293";5683;"O15550"
"PS51184";5699;"O15550"
"PS00690";1003;"O43143"
"PS51192";1001;"O43143"
"PS51194";1005;"O43143"
"PS01357";8378;"O43149"
"PS50135";8375;"O43149"
"PS50135";8376;"O43149"
"PS50222";8373;"O43149"
"PS51284";8374;"O43149"
"PS50002";7025;"O43150"
"PS50003";7013;"O43150"
"PS50088";7022;"O43150"
"PS50115";7016;"O43150"
"PS50297";7019;"O43150"
"PS51058";13224;"O43151"
"PS00119";8669;"O43155"
"PS50853";8671;"O43155"
"PS00065";9191;"O43175"
"PS00306";9194;"O43175"
"PS00670";9192;"O43175"
"PS00671";9193;"O43175"
"PS00486";3200;"O43196"
"PS00027";2317;"O43248"
"PS50071";2315;"O43248"
"PS00108";7249;"O43283"
"PS50011";7247;"O43283"
"PS00028";6193;"O43345"
"PS00028";6196;"O43345"
"PS00028";6199;"O43345"
"PS00028";6203;"O43345"
"PS00028";6211;"O43345"
"PS00028";6222;"O43345"
"PS00028";6226;"O43345"
"PS00028";6229;"O43345"
"PS00028";6233;"O43345"
"PS00028";6265;"O43345"
"PS00028";6273;"O43345"
"PS00028";6286;"O43345"
"PS00028";6290;"O43345"
"PS00028";6294;"O43345"
"PS00028";6309;"O43345"
"PS00028";6314;"O43345"
"PS00028";6319;"O43345"
"PS00028";6332;"O43345"
"PS00028";6344;"O43345"
"PS00028";6359;"O43345"
"PS00028";6364;"O43345"
"PS00028";6371;"O43345"
"PS00028";6377;"O43345"
"PS00028";6388;"O43345"
"PS00028";6417;"O43345"
"PS00028";6422;"O43345"
"PS00028";6438;"O43345"
"PS00028";6454;"O43345"
"PS00028";6461;"O43345"
"PS00028";6473;"O43345"
"PS00028";6477;"O43345"
"PS00028";6481;"O43345"
"PS00028";6492;"O43345"
"PS00028";6498;"O43345"
"PS00028";6505;"O43345"
"PS00028";6511;"O43345"
"PS50157";6182;"O43345"
"PS50157";6189;"O43345"
"PS50157";6195;"O43345"
"PS50157";6197;"O43345"
"PS50157";6200;"O43345"
"PS50157";6206;"O43345"
"PS50157";6219;"O43345"
"PS50157";6224;"O43345"
"PS50157";6228;"O43345"
"PS50157";6231;"O43345"
"PS50157";6234;"O43345"
"PS50157";6269;"O43345"
"PS50157";6276;"O43345"
"PS50157";6288;"O43345"
"PS50157";6292;"O43345"
"PS50157";6307;"O43345"
"PS50157";6312;"O43345"
"PS50157";6316;"O43345"
"PS50157";6321;"O43345"
"PS50157";6334;"O43345"
"PS50157";6356;"O43345"
"PS50157";6361;"O43345"
"PS50157";6368;"O43345"
"PS50157";6374;"O43345"
"PS50157";6385;"O43345"
"PS50157";6414;"O43345"
"PS50157";6420;"O43345"
"PS50157";6425;"O43345"
"PS50157";6435;"O43345"
"PS50157";6440;"O43345"
"PS50157";6458;"O43345"
"PS50157";6464;"O43345"
"PS50157";6475;"O43345"
"PS50157";6479;"O43345"
"PS50157";6490;"O43345"
"PS50157";6494;"O43345"
"PS50157";6502;"O43345"
"PS50157";6508;"O43345"
"PS50805";6179;"O43345"
"PS50082";13869;"O43379"
"PS50294";13864;"O43379"
"PS50294";13865;"O43379"
"PS50294";13867;"O43379"
"PS51025";7212;"O43395"
"PS50950";5090;"O43422"
"PS00025";7607;"O43451O43451"
"PS00025";8597;"O43451O43451"
"PS00129";7610;"O43451O43451"
"PS00129";7618;"O43451O43451"
"PS00129";7624;"O43451O43451"
"PS00129";8598;"O43451O43451"
"PS00129";8601;"O43451O43451"
"PS00129";8604;"O43451O43451"
"PS00707";7612;"O43451O43451"
"PS00707";8599;"O43451O43451"
"PS51448";7597;"O43451O43451"
"PS51448";7615;"O43451O43451"
"PS51448";7621;"O43451O43451"
"PS51448";8596;"O43451O43451"
"PS51448";8600;"O43451O43451"
"PS51448";8602;"O43451O43451"
"PS00028";7361;"O43474"
"PS00028";7368;"O43474"
"PS00028";7390;"O43474"
"PS50157";7353;"O43474"
"PS50157";7365;"O43474"
"PS50157";7387;"O43474"
"PS00154";4260;"O43520"
"PS00658";2028;"O43524"
"PS50039";2026;"O43524"
"PS51075";3387;"O43541"
"PS51076";3390;"O43541"
"PS51227";7357;"O43610"
"PS00678";4436;"O43660"
"PS00678";4442;"O43660"
"PS50082";4429;"O43660"
"PS50082";4432;"O43660"
"PS50082";4434;"O43660"
"PS50082";4439;"O43660"
"PS50082";4443;"O43660"
"PS50294";4430;"O43660"
"PS00028";6175;"O43670"
"PS00028";6176;"O43670"
"PS50888";5416;"O43680"
"PS00027";14185;"O43711"
"PS50071";14184;"O43711"
"PS51225";7215;"O43760"
"PS50097";6587;"O43791"
"PS50144";6573;"O43791"
"PS50096";3164;"O43795"
"PS50096";3172;"O43795"
"PS50096";3174;"O43795"
"PS50096";3176;"O43795"
"PS50096";3178;"O43795"
"PS51456";3161;"O43795"
"PS51757";3186;"O43795"
"PS50920";7681;"O43808"
"PS50920";7683;"O43808"
"PS50920";7685;"O43808"
"PS51799";7379;"O43823"
"PS51799";7382;"O43823"
"PS00491";5848;"O43895"
"PS51257";5846;"O43895"
"PS00010";5451;"O43897"
"PS00010";5463;"O43897"
"PS00142";5440;"O43897"
"PS01180";5443;"O43897"
"PS01180";5446;"O43897"
"PS01180";5455;"O43897"
"PS01180";5467;"O43897"
"PS01180";5469;"O43897"
"PS01186";5452;"O43897"
"PS01186";5465;"O43897"
"PS01187";5448;"O43897"
"PS01187";5457;"O43897"
"PS50026";5450;"O43897"
"PS50026";5459;"O43897"
"PS51864";5438;"O43897"
"PS00062";10364;"O60218"
"PS00063";10366;"O60218"
"PS00798";10362;"O60218"
"PS50806";5208;"O60224"
"PS00107";7133;"O60229"
"PS00108";7136;"O60229"
"PS50002";7117;"O60229"
"PS50002";7122;"O60229"
"PS50003";7115;"O60229"
"PS50003";7121;"O60229"
"PS50010";7113;"O60229"
"PS50010";7120;"O60229"
"PS50011";7128;"O60229"
"PS50191";7112;"O60229"
"PS50835";7124;"O60229"
"PS50853";7126;"O60229"
"PS00690";6803;"O60231"
"PS51192";6798;"O60231"
"PS51194";6806;"O60231"
"PS00134";7793;"O60235"
"PS00135";7795;"O60235"
"PS50024";7788;"O60235"
"PS50240";7791;"O60235"
"PS00650";107;"O60242"
"PS01180";92;"O60242"
"PS50092";96;"O60242"
"PS50092";97;"O60242"
"PS50092";98;"O60242"
"PS50092";99;"O60242"
"PS50221";103;"O60242"
"PS50227";101;"O60242"
"PS50261";105;"O60242"
"PS50058";1856;"O60262"
"PS00452";2479;"O60266"
"PS00452";2485;"O60266"
"PS50125";2474;"O60266"
"PS50125";2482;"O60266"
"PS00028";8200;"O60281"
"PS00028";8204;"O60281"
"PS00028";8208;"O60281"
"PS00028";8212;"O60281"
"PS00028";8214;"O60281"
