"entrez";"symbol";"pubmed_id";"type";"organ_system";"primary_site";"cancer_type";"method";"coding_status";"cgc_annotation";"vogelstein_annotation";"saito_annotation";"NCG_oncogene";"NCG_tsg";"driver_type";"drivers_id"
125;"ADH1B";25362482;"WES";"Developmental gastrointestinal";"hepatobiliary";"hepatocellular_carcinoma";"MutSig";"coding";"";"";"";"";"";"cancer";35
90;"ACVR1";24705250;"WES";"Soft tissue";"brain";"astrocytoma";"Recurrence-based";"coding";"oncogene";"";"";"1.0";"0.0";"cancer";36
143;"PARP4";26451490;"WES";"Gynecologic";"breast";"breast_cancer";"MutSig";"coding";"";"";"";"";"";"cancer";37
147;"ADRA1B";27311963;"WGS-WES";"Multiple";"multiple";"pan-cancer_adult";"OncodriveFML";"coding";"";"";"";"";"";"cancer";38
90;"ACVR1";14993899;"Canonical Cancer Driver";"Multiple";"multiple";"";"-";"";"oncogene";"";"";"1.0";"0.0";"cancer";39
90;"ACVR1";29489754;"Pan-cancer";"Multiple";"multiple";"pan-cancer_paediatric";"MuSiC";"coding";"oncogene";"";"";"1.0";"0.0";"cancer";40
148;"ADRA1A";27064257;"WGS";"Developmental gastrointestinal";"hepatobiliary";"hepatocellular_carcinoma, cholangiocarcinoma";"Literature-based";"coding";"";"";"";"";"";"cancer";41
90;"ACVR1";24705252;"WGS-WES";"Soft tissue";"brain";"diffuse_intrinsic_pontine_glioma";"Recurrence-based";"coding";"oncogene";"";"";"1.0";"0.0";"cancer";42
324;"APC";24132290;"Pan-cancer";"Multiple";"multiple";"pan-cancer_adult";"MuSiC";"coding";"TSG";"TSG";"TSG";"0.0";"1.0";"cancer";43
155;"ADRB3";28362259;"WGS";"Multiple";"multiple";"pan-cancer_adult";"ncdDetect";"noncoding";"";"";"";"";"";"cancer";44
90;"ACVR1";24705251;"WGS-WES";"Soft tissue";"brain";"paediatric_high-grade_glioma";"Recurrence-based";"coding";"oncogene";"";"";"1.0";"0.0";"cancer";45
160;"AP2A1";28362259;"WGS";"Multiple";"multiple";"pan-cancer_adult";"ncdDetect";"noncoding";"";"";"";"";"";"cancer";46
91;"ACVR1B";26909576;"WGS";"Developmental gastrointestinal";"pancreas";"pancreatic_cancer_(all_histologies)";"HOTNET2, OncodriveFM, MutSig";"coding";"";"TSG";"";"0.0";"1.0";"cancer";47
324;"APC";24390350;"Pan-cancer";"Multiple";"multiple";"pan-cancer_adult";"MutSig";"coding";"TSG";"TSG";"TSG";"0.0";"1.0";"cancer";48
324;"APC";22327622;"Gene Panel";"Core gastrointestinal";"colorectal";"colorectal_adenocarcinoma";"Recurrence-based";"coding";"TSG";"TSG";"TSG";"0.0";"1.0";"cancer";49
162;"AP1B1";27311963;"WGS-WES";"Multiple";"multiple";"pan-cancer_adult";"OncodriveFML";"coding";"";"";"";"";"";"cancer";50
324;"APC";29622466;"WES";"Core gastrointestinal";"pan-gastric";"pan-gastric";"MutSig2CV";"coding";"TSG";"TSG";"TSG";"0.0";"1.0";"cancer";51
173;"AFM";24120142;"WES";"Soft tissue";"brain";"glioblastoma";"InVEx, MutSig";"coding";"";"";"";"";"";"cancer";52
91;"ACVR1B";29625053;"Pan-cancer";"Multiple";"multiple";"pan-cancer_adult";"PanSoftWare";"coding";"";"TSG";"";"0.0";"1.0";"cancer";53
324;"APC";27311963;"WGS-WES";"Multiple";"multiple";"pan-cancer_adult";"OncodriveFML";"coding";"TSG";"TSG";"TSG";"0.0";"1.0";"cancer";54
91;"ACVR1B";22810696;"WES";"Core gastrointestinal";"colorectal";"colorectal_adenocarcinoma";"MutSig";"coding";"";"TSG";"";"0.0";"1.0";"cancer";55
176;"ACAN";26824661;"WGS-WES";"Soft tissue";"brain";"pan-glioma";"MutSig";"coding";"";"";"";"";"";"cancer";56
91;"ACVR1B";30718927;"WGS-WES";"Core gastrointestinal";"esophagus";"esophageal_adenocarcinoma";"dNdScv, ActiveDriverWGS, MutSig2CV, OncodriveFM, OncodriveClust, eDriver, eDriver3D";"coding";"";"TSG";"";"0.0";"1.0";"cancer";57
182;"JAG1";25730765;"WGS";"Hematologic and lymphatic";"blood";"acute_lymphocytic_leukemia";"Recurrence-based";"coding";"";"";"";"";"";"cancer";58
324;"APC";27135926;"WGS";"Gynecologic";"breast";"breast_cancer";"Paper-specific";"coding";"TSG";"TSG";"TSG";"0.0";"1.0";"cancer";59
182;"JAG1";26909576;"WGS";"Developmental gastrointestinal";"pancreas";"pancreatic_cancer_(all_histologies)";"HOTNET2, OncodriveFM, MutSig";"coding";"";"";"";"";"";"cancer";60
91;"ACVR1B";26804919;"WES";"Core gastrointestinal";"small_intestine";"ampullary_adenocarcinoma";"MutSig";"coding";"";"TSG";"";"0.0";"1.0";"cancer";61
324;"APC";32025015;"WGS";"Multiple";"multiple";"pan-cancer_adult";"ActiveDriverWGS, CompositeDriver, DriverPower, dNdScv, ExInAtor, LARVA, MutSig, NBR, ncdDetect, ncDriver, OncodriveFML, regDriver";"coding";"TSG";"TSG";"TSG";"0.0";"1.0";"cancer";62
182;"JAG1";25501392;"Pan-cancer";"Multiple";"multiple";"pan-cancer_adult";"HOTNET2";"coding";"";"";"";"";"";"cancer";63
324;"APC";26000489;"WES";"Urologic";"prostate";"prostate_cancer";"MutSig";"coding";"TSG";"TSG";"TSG";"0.0";"1.0";"cancer";64
91;"ACVR1B";28667006;"WGS-WES-Gene Panel";"Developmental gastrointestinal";"hepatobiliary";"cholangiocarcinoma";"MutSigCV, IntOGen";"coding";"";"TSG";"";"0.0";"1.0";"cancer";65
324;"APC";32494066;"Canonical Cancer Driver";"Multiple";"multiple";"";"";"";"TSG";"TSG";"TSG";"0.0";"1.0";"cancer";66
186;"AGTR2";27161491;"Gene Panel";"Gynecologic";"breast";"breast_cancer";"Recurrence-based";"coding";"";"";"";"";"";"cancer";67
91;"ACVR1B";20668451;"Gene Panel";"Gynecologic";"breast";"breast_cancer";"Wood-based";"coding";"";"TSG";"";"0.0";"1.0";"cancer";68
187;"APLNR";20668451;"Gene Panel";"Thoracic";"lung";"lung_cancer_(all_histologies)";"Wood-based";"coding";"";"";"";"";"";"cancer";69
91;"ACVR1B";24132290;"Pan-cancer";"Multiple";"multiple";"pan-cancer_adult";"MuSiC";"coding";"";"TSG";"";"0.0";"1.0";"cancer";70
207;"AKT1";29625053;"Pan-cancer";"Multiple";"multiple";"pan-cancer_adult";"PanSoftWare";"coding";"oncogene";"Oncogene";"Oncogene";"1.0";"0.0";"cancer";71
324;"APC";22895193;"WES";"Core gastrointestinal";"colorectal";"colorectal_adenocarcinoma";"Wood-based";"coding";"TSG";"TSG";"TSG";"0.0";"1.0";"cancer";72
91;"ACVR1B";24390350;"Pan-cancer";"Multiple";"multiple";"pan-cancer_adult";"MutSig";"coding";"";"TSG";"";"0.0";"1.0";"cancer";73
207;"AKT1";22722202;"WES";"Gynecologic";"breast";"breast_cancer";"MutSig";"coding";"oncogene";"Oncogene";"Oncogene";"1.0";"0.0";"cancer";74
91;"ACVR1B";27311963;"WGS-WES";"Multiple";"multiple";"pan-cancer_adult";"OncodriveFML";"coding";"";"TSG";"";"0.0";"1.0";"cancer";75
324;"APC";32024818;"WGS";"Multiple";"multiple";"pan-cancer_adult";"DriverPower";"noncoding";"TSG";"TSG";"TSG";"0.0";"1.0";"cancer";76
324;"APC";22722201;"WES";"Gynecologic";"breast";"breast_cancer";"Greenman-based";"coding";"TSG";"TSG";"TSG";"0.0";"1.0";"cancer";77
324;"APC";28551381;"WES-Gene Panel";"Core gastrointestinal";"colorectal";"colorectal_adenocarcinoma";"Recurrence-based";"coding";"TSG";"TSG";"TSG";"0.0";"1.0";"cancer";78
207;"AKT1";22610119;"WES";"Urologic";"prostate";"prostate_cancer";"MutSig";"coding";"oncogene";"Oncogene";"Oncogene";"1.0";"0.0";"cancer";79
91;"ACVR1B";32025015;"WGS";"Multiple";"multiple";"pan-cancer_adult";"ActiveDriverWGS, CompositeDriver, DriverPower, dNdScv, ExInAtor, LARVA, MutSig, NBR, ncdDetect, ncDriver, OncodriveFML, regDriver";"coding";"";"TSG";"";"0.0";"1.0";"cancer";80
207;"AKT1";24633157;"WGS-WES-Gene Panel";"Soft tissue";"soft_tissue";"angiosarcoma";"Greenman-based";"coding";"oncogene";"Oncogene";"Oncogene";"1.0";"0.0";"cancer";81
207;"AKT1";29622464;"WES";"Gynecologic";"pan-gynecological and breast";"pan-gynecological and breast";"MutSigCV, 20/20";"coding";"oncogene";"Oncogene";"Oncogene";"1.0";"0.0";"cancer";82
324;"APC";23539594;"Canonical Cancer Driver";"Multiple";"multiple";"";"-";"";"TSG";"TSG";"TSG";"0.0";"1.0";"cancer";83
91;"ACVR1B";23539594;"Canonical Cancer Driver";"Multiple";"multiple";"";"-";"";"";"TSG";"";"0.0";"1.0";"cancer";84
207;"AKT1";23000897;"WES";"Gynecologic";"breast";"breast_cancer";"MuSiC";"coding";"oncogene";"Oncogene";"Oncogene";"1.0";"0.0";"cancer";85
91;"ACVR1B";26806338;"WES-Gene Panel";"Core gastrointestinal";"small_intestine";"ampullary_adenocarcinoma";"Recurrence-based";"coding";"";"TSG";"";"0.0";"1.0";"cancer";86
207;"AKT1";26451490;"WES";"Gynecologic";"breast";"breast_cancer";"MutSig";"coding";"oncogene";"Oncogene";"Oncogene";"1.0";"0.0";"cancer";87
92;"ACVR2A";26909576;"WGS";"Developmental gastrointestinal";"pancreas";"pancreatic_cancer_(all_histologies)";"HOTNET2, OncodriveFM, MutSig";"coding";"TSG";"";"";"0.0";"1.0";"cancer";88
324;"APC";26939876;"Gene Panel";"Gynecologic";"breast";"triple_negative_breast_cancer";"Recurrence-based, Paper-specific";"coding";"TSG";"TSG";"TSG";"0.0";"1.0";"cancer";89
324;"APC";26806338;"WES-Gene Panel";"Core gastrointestinal";"small_intestine";"ampullary_adenocarcinoma";"Recurrence-based";"coding";"TSG";"TSG";"TSG";"0.0";"1.0";"cancer";90
207;"AKT1";23348505;"WES";"Soft tissue";"brain";"meningioma";"Recurrence-based";"coding";"oncogene";"Oncogene";"Oncogene";"1.0";"0.0";"cancer";91
324;"APC";26099045;"WGS";"Gynecologic";"breast";"breast_cancer";"Recurrence-based, Literature-based";"coding";"TSG";"TSG";"TSG";"0.0";"1.0";"cancer";92
324;"APC";26998897;"WES";"Core gastrointestinal";"small_intestine";"duodenal_adenocarcinoma";"MutSig";"coding";"TSG";"TSG";"TSG";"0.0";"1.0";"cancer";93
92;"ACVR2A";29625053;"Pan-cancer";"Multiple";"multiple";"pan-cancer_adult";"PanSoftWare";"coding";"TSG";"";"";"0.0";"1.0";"cancer";94
92;"ACVR2A";29622464;"WES";"Gynecologic";"pan-gynecological and breast";"pan-gynecological and breast";"MutSigCV, 20/20";"coding";"TSG";"";"";"0.0";"1.0";"cancer";95
207;"AKT1";14993899;"Canonical Cancer Driver";"Multiple";"multiple";"";"-";"";"oncogene";"Oncogene";"Oncogene";"1.0";"0.0";"cancer";96
207;"AKT1";27348297;"WES";"Gynecologic";"uterus";"endometrial_cancer";"MutSig";"coding";"oncogene";"Oncogene";"Oncogene";"1.0";"0.0";"cancer";97
207;"AKT1";20668451;"Gene Panel";"Gynecologic";"breast";"breast_cancer";"Wood-based";"coding";"oncogene";"Oncogene";"Oncogene";"1.0";"0.0";"cancer";98
92;"ACVR2A";22810696;"WES";"Core gastrointestinal";"colorectal";"colorectal_adenocarcinoma";"MutSig";"coding";"TSG";"";"";"0.0";"1.0";"cancer";99
92;"ACVR2A";30718927;"WGS-WES";"Core gastrointestinal";"esophagus";"esophageal_adenocarcinoma";"dNdScv, ActiveDriverWGS, MutSig2CV, OncodriveFM, OncodriveClust, eDriver, eDriver3D";"coding";"TSG";"";"";"0.0";"1.0";"cancer";100
330;"BIRC3";30606723;"WGS";"Hematologic and lymphatic";"blood";"dlblc, follicular_lymphoma";"Paper-specific";"noncoding";"oncogene, TSG, fusion";"";"";"0.0";"0.0";"cancer";101
92;"ACVR2A";27064257;"WGS";"Developmental gastrointestinal";"hepatobiliary";"hepatocellular_carcinoma, cholangiocarcinoma";"Literature-based";"coding";"TSG";"";"";"0.0";"1.0";"cancer";102
330;"BIRC3";14993899;"Canonical Cancer Driver";"Multiple";"multiple";"";"-";"";"oncogene, TSG, fusion";"";"";"0.0";"0.0";"cancer";103
207;"AKT1";24132290;"Pan-cancer";"Multiple";"multiple";"pan-cancer_adult";"MuSiC";"coding";"oncogene";"Oncogene";"Oncogene";"1.0";"0.0";"cancer";104
330;"BIRC3";29354286;"WGS";"Multiple";"multiple";"pan-cancer_adult";"ncDriver";"noncoding";"oncogene, TSG, fusion";"";"";"0.0";"0.0";"cancer";105
466;"ATF1";14993899;"Canonical Cancer Driver";"Multiple";"multiple";"";"-";"";"oncogene, fusion";"";"";"1.0";"0.0";"cancer";106
92;"ACVR2A";27064257;"WGS";"Developmental gastrointestinal";"hepatobiliary";"hepatocellular_carcinoma, cholangiocarcinoma";"Literature-based";"coding";"TSG";"";"";"0.0";"1.0";"cancer";107
330;"BIRC3";26466571;"WES";"Hematologic and lymphatic";"blood";"chronic_lymphocytic_leukemia";"MutSig";"coding";"oncogene, TSG, fusion";"";"";"0.0";"0.0";"cancer";108
92;"ACVR2A";14993899;"Canonical Cancer Driver";"Multiple";"multiple";"";"-";"";"TSG";"";"";"0.0";"1.0";"cancer";109
338;"APOB";29625053;"Pan-cancer";"Multiple";"multiple";"pan-cancer_adult";"PanSoftWare";"coding";"";"";"";"";"";"cancer";110
207;"AKT1";24390350;"Pan-cancer";"Multiple";"multiple";"pan-cancer_adult";"MutSig";"coding";"oncogene";"Oncogene";"Oncogene";"1.0";"0.0";"cancer";111
207;"AKT1";28027327;"WES";"Gynecologic";"breast";"breast_cancer";"MutSig";"coding";"oncogene";"Oncogene";"Oncogene";"1.0";"0.0";"cancer";112
92;"ACVR2A";27149842;"WES";"Core gastrointestinal";"colorectal";"colorectal_adenocarcinoma";"MutSig";"coding";"TSG";"";"";"0.0";"1.0";"cancer";113
92;"ACVR2A";29945994;"WES";"Core gastrointestinal";"stomach";"gastric_adenocarcinoma";"Recurrence-based";"coding";"TSG";"";"";"0.0";"1.0";"cancer";114
207;"AKT1";29489755;"Pan-cancer";"Multiple";"multiple";"pan-cancer_paediatric";"GRIN, MutSig";"coding";"oncogene";"Oncogene";"Oncogene";"1.0";"0.0";"cancer";115
338;"APOB";27064257;"WGS";"Developmental gastrointestinal";"hepatobiliary";"hepatocellular_carcinoma, cholangiocarcinoma";"Literature-based";"coding";"";"";"";"";"";"cancer";116
472;"ATM";26909576;"WGS";"Developmental gastrointestinal";"pancreas";"pancreatic_cancer_(all_histologies)";"HOTNET2, OncodriveFM, MutSig";"coding";"TSG";"TSG";"TSG";"0.0";"1.0";"cancer";117
207;"AKT1";27135926;"WGS";"Gynecologic";"breast";"breast_cancer";"Paper-specific";"coding";"oncogene";"Oncogene";"Oncogene";"1.0";"0.0";"cancer";118
338;"APOB";27064257;"WGS";"Developmental gastrointestinal";"hepatobiliary";"hepatocellular_carcinoma, cholangiocarcinoma";"Literature-based";"coding";"";"";"";"";"";"cancer";119
92;"ACVR2A";28667006;"WGS-WES-Gene Panel";"Developmental gastrointestinal";"hepatobiliary";"cholangiocarcinoma";"MutSigCV, IntOGen";"coding";"TSG";"";"";"0.0";"1.0";"cancer";120
338;"APOB";26121086;"WES";"Soft tissue";"peripheral_nervous_system";"neuroblastoma";"Recurrence-based";"coding";"";"";"";"";"";"cancer";121
472;"ATM";29625053;"Pan-cancer";"Multiple";"multiple";"pan-cancer_adult";"PanSoftWare";"coding";"TSG";"TSG";"TSG";"0.0";"1.0";"cancer";122
92;"ACVR2A";24132290;"Pan-cancer";"Multiple";"multiple";"pan-cancer_adult";"MuSiC";"coding";"TSG";"";"";"0.0";"1.0";"cancer";123
338;"APOB";28622513;"WES";"Developmental gastrointestinal";"hepatobiliary";"hepatocellular_carcinoma";"MutSig, Recurrence-based";"coding";"";"";"";"";"";"cancer";124
207;"AKT1";27161491;"Gene Panel";"Gynecologic";"breast";"breast_cancer";"Recurrence-based";"coding";"oncogene";"Oncogene";"Oncogene";"1.0";"0.0";"cancer";125
92;"ACVR2A";32025015;"WGS";"Multiple";"multiple";"pan-cancer_adult";"ActiveDriverWGS, CompositeDriver, DriverPower, dNdScv, ExInAtor, LARVA, MutSig, NBR, ncdDetect, ncDriver, OncodriveFML, regDriver";"coding";"TSG";"";"";"0.0";"1.0";"cancer";126
207;"AKT1";32025015;"WGS";"Multiple";"multiple";"pan-cancer_adult";"ActiveDriverWGS, CompositeDriver, DriverPower, dNdScv, ExInAtor, LARVA, MutSig, NBR, ncdDetect, ncDriver, OncodriveFML, regDriver";"coding";"oncogene";"Oncogene";"Oncogene";"1.0";"0.0";"cancer";127
207;"AKT1";26000489;"WES";"Urologic";"prostate";"prostate_cancer";"MutSig";"coding";"oncogene";"Oncogene";"Oncogene";"1.0";"0.0";"cancer";128
338;"APOB";22484628;"WES";"Core gastrointestinal";"stomach";"gastric_adenocarcinoma";"Recurrence-based";"coding";"";"";"";"";"";"cancer";129
92;"ACVR2A";25822088;"WES";"Developmental gastrointestinal";"hepatobiliary";"hepatocellular_carcinoma";"MutSig";"coding";"TSG";"";"";"0.0";"1.0";"cancer";130
92;"ACVR2A";28622513;"WES";"Developmental gastrointestinal";"hepatobiliary";"hepatocellular_carcinoma";"MutSig, Recurrence-based";"coding";"TSG";"";"";"0.0";"1.0";"cancer";131
472;"ATM";24121791;"WES";"Urologic";"bladder";"bladder_cancer";"Recurrence-based";"coding";"TSG";"TSG";"TSG";"0.0";"1.0";"cancer";132
207;"AKT1";32494066;"Canonical Cancer Driver";"Multiple";"multiple";"";"";"";"oncogene";"Oncogene";"Oncogene";"1.0";"0.0";"cancer";133
354;"KLK3";27063598;"WES-Gene Panel";"Hematologic and lymphatic";"blood";"acute_promyelocytic_leukemia";"Recurrence-based";"coding";"";"";"";"";"";"cancer";134
92;"ACVR2A";25362482;"WES";"Developmental gastrointestinal";"hepatobiliary";"hepatocellular_carcinoma";"MutSig";"coding";"TSG";"";"";"0.0";"1.0";"cancer";135
355;"FAS";26192916;"WGS-WES";"Hematologic and lymphatic";"blood";"cutaneous_T_cell_lymphoma";"MuSiC";"coding";"TSG";"";"";"0.0";"1.0";"cancer";136
92;"ACVR2A";22037554;"WES";"Core gastrointestinal";"stomach";"gastric_adenocarcinoma";"Wood-based";"coding";"TSG";"";"";"0.0";"1.0";"cancer";137
472;"ATM";22610119;"WES";"Urologic";"prostate";"prostate_cancer";"MutSig";"coding";"TSG";"TSG";"TSG";"0.0";"1.0";"cancer";138
355;"FAS";14993899;"Canonical Cancer Driver";"Multiple";"multiple";"";"-";"";"TSG";"";"";"0.0";"1.0";"cancer";139
207;"AKT1";22722201;"WES";"Gynecologic";"breast";"breast_cancer";"Greenman-based";"coding";"oncogene";"Oncogene";"Oncogene";"1.0";"0.0";"cancer";140
92;"ACVR2A";24816253;"WGS";"Core gastrointestinal";"stomach";"gastric_adenocarcinoma";"Youn-based";"coding";"TSG";"";"";"0.0";"1.0";"cancer";141
472;"ATM";22981675;"Gene Panel";"Urologic";"prostate";"prostate_cancer";"Recurrence-based";"coding";"TSG";"TSG";"TSG";"0.0";"1.0";"cancer";142
355;"FAS";26437031;"WGS-WES-Gene Panel";"Hematologic and lymphatic";"blood";"T-cell_leukemia/lymphoma";"MutSig";"coding";"TSG";"";"";"0.0";"1.0";"cancer";143
472;"ATM";29622464;"WES";"Gynecologic";"pan-gynecological and breast";"pan-gynecological and breast";"MutSigCV, 20/20";"coding";"TSG";"TSG";"TSG";"0.0";"1.0";"cancer";144
207;"AKT1";26544944;"WGS-WES";"Urologic";"prostate";"prostate_cancer";"MutSig";"coding";"oncogene";"Oncogene";"Oncogene";"1.0";"0.0";"cancer";145
207;"AKT1";28452984;"WES";"Hematologic and lymphatic";"blood";"chronic_myeloid_leukemia";"Recurrence-based, Literature-based";"coding";"oncogene";"Oncogene";"Oncogene";"1.0";"0.0";"cancer";146
207;"AKT1";23539594;"Canonical Cancer Driver";"Multiple";"multiple";"";"-";"";"oncogene";"Oncogene";"Oncogene";"1.0";"0.0";"cancer";147
355;"FAS";21796119;"WES";"Hematologic and lymphatic";"blood";"non-Hodgkin_lymphoma";"Greenman-based";"coding";"TSG";"";"";"0.0";"1.0";"cancer";148
92;"ACVR2A";26806338;"WES-Gene Panel";"Core gastrointestinal";"small_intestine";"ampullary_adenocarcinoma";"Recurrence-based";"coding";"TSG";"";"";"0.0";"1.0";"cancer";149
472;"ATM";23103869;"WES";"Developmental gastrointestinal";"pancreas";"pancreatic_ductal_adenocarcinoma";"MuSiC";"coding";"TSG";"TSG";"TSG";"0.0";"1.0";"cancer";150
207;"AKT1";26939876;"Gene Panel";"Gynecologic";"breast";"triple_negative_breast_cancer";"Recurrence-based, Paper-specific";"coding";"oncogene";"Oncogene";"Oncogene";"1.0";"0.0";"cancer";151
355;"FAS";26939876;"Gene Panel";"Gynecologic";"breast";"triple_negative_breast_cancer";"Recurrence-based, Paper-specific";"coding";"TSG";"";"";"0.0";"1.0";"cancer";152
364;"AQP7";28362259;"WGS";"Multiple";"multiple";"pan-cancer_adult";"ncdDetect";"noncoding";"";"";"";"";"";"cancer";153
207;"AKT1";26099045;"WGS";"Gynecologic";"breast";"breast_cancer";"Recurrence-based, Literature-based";"coding";"oncogene";"Oncogene";"Oncogene";"1.0";"0.0";"cancer";154
367;"AR";29625053;"Pan-cancer";"Multiple";"multiple";"pan-cancer_adult";"PanSoftWare";"coding";"oncogene";"Oncogene";"Oncogene";"1.0";"0.0";"cancer";155
208;"AKT2";14993899;"Canonical Cancer Driver";"Multiple";"multiple";"";"-";"";"oncogene";"";"Oncogene";"1.0";"0.0";"cancer";156
208;"AKT2";23619167;"WES";"Head and neck";"head_and_neck";"squamous_head_and_neck_cancer";"Paper-specific";"coding";"oncogene";"";"Oncogene";"1.0";"0.0";"cancer";157
208;"AKT2";27311963;"WGS-WES";"Multiple";"multiple";"pan-cancer_adult";"OncodriveFML";"coding";"oncogene";"";"Oncogene";"1.0";"0.0";"cancer";158
